aaliyah,1
aaron,2
abbey,9
abbie,2
abby,4
abigail,1
abii,1
adam,10
adela,1
adele,1
adrian,1
adriana,1
aidan,6
aiden,3
aidyn,1
aikaterina,1
aimee,2
ainsley,1
ajay,1
alaiyah,1
alana,9
alannah,2
alec,1
aleesha,1
aleisha,2
alessandra,2
alessandria,1
alessia,1
alex,1
alex,4
alexa-rose,1
alexander,15
alexandra,17
alexia,1
alexis,1
alia,2
alice,3
alicia,5
alisa,3
alisha,2
alison,1
alissa,2
alivia,1
aliza,1
allegra,1
aloysius,1
alysha,2
alyssa,3
amalia,1
amaya,1
amber,11
ambrosia,1
amelia,5
amelie,1
amy,15
anari,1
anastasia,1
andie,1
andrea,1
andrew,10
aneka,1
angelica,2
angelina,1
angie,1
angus,3
anika,1
anita,1
anna,1
annabel,4
annabella,1
annabelle,4
annalise,2
anneliese,1
annika,1
anthea,1
anthony,3
anton,1
antonio,1
april,6
arabella,3
archer,2
archie,2
arki,1
arren,1
ash,1
asha,1
ashlee,1
ashleigh,4
ashley,1
ashlie,1
ashton,1
aurora,1
ava,2
ayden,1
ayla,1
bailee,3
bailey,11
bailley,1
barkly,1
barnaby,2
baxter,1
bayden,1
bayley,2
beau,2
belinda,1
bella,2
ben,2
benedict,1
benjamin,31
bertie,1
beth,1
bethanie,1
bethany,5
bianca,5
billy,1
blade,1
blaize,1
blake,11
blakeston,1
blayke,1
bodhi,1
bradley,3
braedon,3
braiden,1
brandon,2
brayden,2
breana,1
bree,1
breeanne,1
brendan,1
breony,1
brett,1
brianna,7
bridget,4
brielle,1
brigette,1
brigitte,1
briley,1
brinley,1
briony,1
brock,1
brodee,2
brodie,2
brody,3
bronte,1
brooke,11
brooklyn,3
bryce,2
brydee,1
brydon,1
byron,1
cade,1
cain,2
caitlin,16
caitlyn,1
caleb,10
callie,1
callum,7
calvin,1
cambell,1
cameron,9
campbell,4
caresse,1
carla,2
carlin,2
carly,2
carmen,1
casey,4
cassandra,3
cassidy,1
catherine,3
channing,1
chantelle,2
charlee,1
charles,4
charli,1
charlie,9
charlize,1
charlotte,17
chase,1
