0200,1
0800,1169
0810,9077
0812,5777
0813,66
0820,5125
0822,1484
0828,264
0830,4730
0832,1550
0835,1442
0836,1450
0837,982
0840,83
0845,253
0846,96
0847,137
0850,2397
0852,361
0853,505
0854,134
0860,765
0862,76
0870,7952
0871,1
0872,820
0880,1381
0885,336
0886,391
2000,8346
2007,1606
2008,2519
2009,3736
2010,10390
2011,9122
2014,224
2015,2672
2016,5097
2017,2425
2018,4114
2019,2898
2020,3258
2021,6665
2022,4765
2023,3526
2024,5034
2025,3452
2026,13606
2027,4127
2028,2234
2029,4318
2030,5230
2031,13866
2032,6006
2033,4199
2034,8405
2035,11484
2036,8375
2037,5744
2038,3768
2039,3026
2040,7992
2041,6844
2042,7329
2043,1985
2044,2581
2045,2349
2046,8930
2047,4695
2048,2986
2049,4144
2050,1960
2060,6561
2061,2667
2062,2672
2063,2290
2064,4001
2065,10707
2066,10813
2067,8394
2068,6199
2069,4699
2070,4523
2071,4229
2072,2248
2073,5420
2074,7653
2075,6481
2076,7835
2077,11288
2079,2380
2080,599
2081,1712
2082,1722
2083,832
2084,1328
2085,4143
2086,4546
2087,4546
2088,11137
2089,5302
2090,6456
2092,2352
2093,8204
2094,2551
2095,6855
2096,5934
2097,6014
2099,13887
2100,7042
2101,6722
2102,1438
2103,3821
2104,1601
2105,893
2106,3736
2107,5861
2108,1206
2109,1
2110,3472
2111,5307
2112,9319
2113,6738
2114,6846
2115,2939
2116,2000
2117,6509
2118,7242
2119,3524
2120,6782
2121,8836
2122,11347
2125,4813
2126,5420
2127,985
2128,204
2130,2815
2131,7844
2132,3370
2133,3364
2134,4080
2135,7574
2136,1511
2137,6123
2138,2871
2140,2860
2141,6510
2142,5432
2143,2359
2144,7862
2145,20074
2146,5814
2147,11485
2148,17694
2150,6207
2151,7212
2152,2792
2153,15644
2154,10551
2155,6032
2156,3545
2157,1149
2158,2500
2159,1582
2160,9182
2161,7888
2162,4654
2163,3277
2164,5960
2165,9848
2166,13118
2167,1959
2168,9141
2170,22726
2171,8276
2173,3415
2176,9727
2177,3261
2190,6880
2191,1814
2192,4023
2193,4483
2194,6614
2195,6892
2196,8237
2197,2590
2198,2495
2199,4556
2200,10510
2203,5270
2204,8738
2205,4097
2206,5684
2207,7718
2208,3744
2209,4947
2210,9806
2211,5547
2212,4803
2213,6977
2214,1456
2216,7955
2217,8256
2218,4493
2219,4585
2220,8507
2221,5006
2222,3934
2223,6902
2224,4945
2225,1781
2226,4438
2227,4914
2228,6677
2229,9829
2230,11318
2231,755
2232,11741
2233,9767
2234,8632
2250,23454
2251,12138
2256,6129
2257,11533
2258,1573
2259,14041
2260,8048
2261,18467
2262,6195
2263,9801
2264,4717
2265,1676
2267,1088
2278,832
2280,9371
2281,5377
2282,5316
2283,8401
2284,3858
2285,8808
2286,1203
2287,10270
2289,6869
2290,11969
2291,5560
2292,963
2293,787
2294,677
2295,1837
2296,633
2297,646
2298,3499
2299,4100
2300,4460
2301,52
2302,137
2303,3799
2304,5954
2305,4986
2306,1185
2307,1245
2308,3
2311,452
2312,491
2314,1
2315,5491
2316,2028
2317,2871
2318,3377
2319,2270
2320,7832
2321,2945
2322,4928
2323,7754
2324,7656
2325,8479
2326,2166
2327,2608
2328,838
2329,877
2330,6706
2333,4521
2334,693
2335,1498
2336,918
2337,2836
2338,600
